id,nombre
1,environment
2,now
3,toward
4,possible
5,enough
6,debate
7,pressure
8,ten
9,career
10,garden
11,read
12,everyone
13,reach
14,night
15,the
16,soldier
17,whom
18,reveal
19,water
20,buy
21,pay
22,north
23,new
24,if
25,attention
26,citizen
27,single
28,partner
29,plan
30,raise
31,wide
32,eat
33,book
34,lay
35,source
36,would
37,record
38,community
39,them
40,already
41,marriage
42,account
43,everyone
44,suffer
45,leave
46,growth
47,operation
48,organization
49,walk
50,role
51,material
52,read
53,finish
54,middle
55,toward
56,land
57,huge
58,energy
59,would
60,edge
61,offer
62,leg
63,public
64,recent
65,entire
66,prepare
67,by
68,agree
69,truth
70,suggest
71,number
72,section
73,medical
74,charge
75,eight
76,major
77,upon
78,window
79,guess
80,suddenly
81,other
82,morning
83,television
84,drive
85,himself
86,get
87,station
88,large
89,across
90,tend
91,arm
92,drive
93,one
94,eat
95,middle
96,institution
97,hospital
98,force
99,thousand
100,sea
101,light
102,economic
103,much
104,else
105,whatever
106,let
107,group
108,right
109,prevent
110,trial
111,itself
112,campaign
113,involve
114,color
115,phone
116,hair
117,here
118,kind
119,amount
120,citizen
121,heart
122,left
123,pull
124,now
125,color
126,tough
127,financial
128,turn
129,also
130,pick
131,already
132,become
133,production
134,almost
135,myself
136,save
137,news
138,rise
139,none
140,evidence
141,television
142,street
143,have
144,perhaps
145,time
146,here
147,member
148,drop
149,area
150,myself
151,become
152,arm
153,training
154,him
155,task
156,benefit
157,edge
158,leave
159,stay
160,every
161,stage
162,range
163,local
164,affect
165,TV
166,understand
167,natural
168,add
169,bill
170,sell
171,lose
172,of
173,easy
174,site
175,former
176,team
177,major
178,official
179,both
180,forward
181,meeting
182,woman
183,follow
184,this
185,his
186,ten
187,raise
188,property
189,will
190,moment
191,those
192,well
193,interesting
194,manager
195,military
196,become
197,specific
198,fact
199,ever
200,catch
201,reach
202,relate
203,effect
204,see
205,city
206,where
207,tonight
208,condition
209,direction
210,purpose
211,partner
212,member
213,wonder
214,evening
215,station
216,western
217,social
218,approach
219,leg
220,particular
221,service
222,individual
223,rule
224,economic
225,simply
226,necessary
227,inside
228,protect
229,war
230,factor
231,former
232,end
233,structure
234,from
235,school
236,kid
237,hand
238,religious
239,example
240,total
241,research
242,population
243,tonight
244,ago
245,simply
246,serve
247,discuss
248,get
249,sing
250,respond
251,voice
252,movement
253,business
254,during
255,to
256,picture
257,television
258,keep
259,if
260,general
261,laugh
262,structure
263,color
264,crime
265,under
266,defense
267,suffer
268,article
269,own
270,serious
271,to
272,pattern
273,community
274,dog
275,miss
276,change
277,hotel
278,research
279,TV
280,picture
281,defense
282,better
283,explain
284,stuff
285,bar
286,but
287,west
288,sing
289,car
290,realize
291,language
292,democratic
293,continue
294,when
295,election
296,happy
297,position
298,yes
299,trade
300,from
301,friend
302,candidate
303,avoid
304,month
305,marriage
306,American
307,money
308,collection
309,up
310,bill
311,ready
312,democratic
313,ball
314,trade
315,happy
316,animal
317,blood
318,this
319,now
320,either
321,mention
322,interesting
323,draw
324,head
325,will
326,he
327,bill
328,early
329,least
330,space
331,least
332,computer
333,cause
334,for
335,future
336,foreign
337,news
338,drop
339,newspaper
340,although
341,begin
342,notice
343,soon
344,find
345,stop
346,surface
347,stop
348,security
349,day
350,lay
351,cell
352,others
353,series
354,hour
355,consider
356,authority
357,material
358,that
359,act
360,ask
361,north
362,event
363,for
364,likely
365,door
366,property
367,best
368,ask
369,professional
370,sure
371,party
372,avoid
373,save
374,country
375,left
376,spend
377,before
378,memory
379,by
380,growth
381,thing
382,scene
383,member
384,answer
385,teach
386,truth
387,allow
388,international
389,ten
390,cost
391,human
392,one
393,much
394,leader
395,purpose
396,store
397,call
398,step
399,final
400,point
401,year
402,Democrat
403,sea
404,themselves
405,job
406,clear
407,remain
408,road
409,same
410,itself
411,million
412,idea
413,live
414,represent
415,space
416,new
